szerzo,cim,jelzet,raktar,kiado,ev,targyszavak,kulso_leiras,megjegyzesek
Szennay András OSB,"Visszatekintés : válogatás az elmúlt negyedszázad interjúiból, előadásaiból, írásaiból",271 OSB Sz60,,Pannonhalmi Főapátság,2001,magyar egyháztörténet; szerzetesség; bencés rend; tanulmányok; előadások; interjúk;,http://nektar.oszk.hu/hu/manifestation/914060,
Somorjai Ádám OSB (sajtó alá rend.),"Szerzetesség, monasztikum, bencésség II. 1-2. köt.",271 OSB Sz74,,Szt. Gellért Hittud. Főisk.,1999,Egyiptom; keresztény egység; Nursiai Szt Benedek; imádság; patrisztika; zsoltárok; zsolozsma; liturgia; meditáció; rumináció; csend; hallgatás; alázat; engedelmesség; bűnbánat; Jézus búcsúbeszéde; aszketika; misztika; bencés rend; trappista rend; tanulmányok; elmélkedés,http://nektar.oszk.hu/hu/manifestation/3390791,
Tibold Gábor Attila OSB,"Pannonhalmi könyvtár története, A : különös tekintettel annak fejlődésére 1802-től napjainkig",271 OSB T52,,Bencés,1999,művelődéstörténet; könyvtártörténet; Magyarország; egyházi könyvtár; Főapátsági Könyvtár; szerzetesrendek története; bencés rend,http://nektar.oszk.hu/hu/manifestation/415305,
Galla Ferenc,Lorántfy Zsuzsanna és a katolicizmus (Klny. az Egység Útjából),271 OSPPE G21,,s.n.,1944,magyar történelem; Erdély története; Lorántffy Zsuzsanna; Vanoviczy János; pálos rend; életrajz,http://nektar.oszk.hu/hu/manifestation/2970389,
"Weinrich, Lorenz (szerk.)",Hungarici monasterii ordinis Sancti Pauli primi heremitae de urbe Roma : instrumenta et priorum registra,271 OSPPE H95,,Római M. Akad. Fraknói Vilmos Tört. Int. - METEM,1999,"magyar egyháztörténet; szerzetesrendek története; középkor; pálos rend; Santo Stefano Rotondo; Róma; dokumentumok; források; VII. Ince pápa, Cosma de'Migliorati; Kapusi Bálint; Szécsi Dénes; Dömös; V. Miklós pápa, Tommaso Parentucelli; XIII. Gergely pápa, Hugo Boncompagni",http://nektar.oszk.hu/hu/manifestation/410829,
Kisbán Emil,"Magyar pálosrend története, A 1-2. köt.",271 OSPPE K49,,Pálos Kolostor,1938-1940,magyar egyháztörténet; rendtörténet; pálos rend,http://nektar.oszk.hu/hu/manifestation/3416908,
Fallenbüchl Ferenc,Rabváltó trinitárius szerzetesek Magyarországon,271 OTrin F13,,Stephaneum Ny.,1940,magyar egyháztörténet; szerzetesrendek története; trinitárius rend; tanulmányok,http://nektar.oszk.hu/hu/manifestation/3383088,
Puskely Mária SSND,Szerzetesek,271 P97,,Prugg,1989,magyar egyháztörténet; szerzetesség; szerzetesrendek története; Magyarország; megszentelt élet; adattár,http://nektar.oszk.hu/hu/manifestation/815016,
Puskely Mária SSND,Szerzetesek : A megszentelt élet 99 intézménye,271 P97,,Zrínyi Ny.,1990,magyar egyháztörténet; szerzetesség; szerzetesrendek története; Magyarország; adattár,http://nektar.oszk.hu/hu/manifestation/546821,
Balanyi György Piar (szerk.),Magyar piaristák a XIX. és XX. században : életrajzi vázlatok,271 Piar M14,,Szt. István Társ.,1942,magyar egyháztörténet; szerzetesrendek története; piarista rend; Magyarország; életrajzok; Bolla Márton; Alber Nepomuk János; Spányik Glycerius; Katona Mihály Dénes; Horváth Cyrill; Purgstaller József; Hanák János; Vass József; Csaplár Benedek; Ivánfi Ede; Vajda Gyula; Nagy Alajos; Maywald József; Czirbusz Géza; Erdélyi Károly; Kőrösi Albin; Laczkó Dezső Ágoston; Takáts Sándor; Acsay Antal; Prónai Antal; Perényi József; Miskolczy István; Kisparti János,http://nektar.oszk.hu/hu/manifestation/2803686,
Takáts Sándor Piar,"Főváros alapította budapesti piarista kollégium története, A",271 Piar T21,,Hornyánszky,1895,neveléstörténet; szerzetesrendek története; piarista rend; Kegyes Tanítórendi Főgimnázium,http://nektar.oszk.hu/hu/manifestation/1534195,
Révay Edit,Újrainduló szerzetesrendek egy megújuló társadalomban,271 R64,,Státus,2003,vallásszociológia; szerzetesség; Magyarország; rendszerváltás; tanulmányok,http://nektar.oszk.hu/hu/manifestation/1075947,
Slachta Margit,"Puszták rejtekéből az élet centrumába, A",271 S67,,Testvérszöv.,1929,magyar egyháztörténet; szerzetesrendek története; Szociális Testvérek Társasága,http://nektar.oszk.hu/hu/manifestation/1551403,
"Bangert, William V. SJ","Jezsuiták története, A",271 SJ B27,,Osiris,2002,egyháztörténet; szerzetesrendek története; jezsuita rend,http://nektar.oszk.hu/hu/manifestation/950470,
Bangha Béla,Képek a Jézustársaság történetéből : a Jezsuita rend 400-éves jubileuma alkalmából,271 SJ B27,,Pázmány Péter Irod. Társ.,1940,egyháztörténet; jezsuita rendtörténet; magyar jezsuiták,http://nektar.oszk.hu/hu/manifestation/1593490,
Bangha Béla SJ,"Négyszázéves Jézustársaság, A",271 SJ B27,,Pázmány Péter Irod. Társ.,1940,egyháztörténet; szerzetesrendek története; jezsuita rend; emlékkönyv,http://nektar.oszk.hu/hu/manifestation/1592557,
Bánkuti Gábor,"Jezsuiták a diktatúrában : a Jézus Társasága Magyarországi Rendtartománya története, 1945-1965",271 SJ B28,,"L'Harmattan - Jézus Társasága Mo. Rendtartománya - Állambiztonsági Szolgálatok Tört. Lvt.,",2011,egyháztörténet; egyházpolitika; rendtörténet; egyházüldözés; szocializmus; egyház és állam,http://nektar.oszk.hu/hu/manifestation/3358726,
Bodnár Dániel (szerk.),Csillagfényben : portrékötet Szabó Ferencről,271 SJ C71,,Jel,2005,Szabó Ferenc; jezsuita rend; magyar jezsuiták; szerzetes; teológus; interjú,http://nektar.oszk.hu/hu/manifestation/2593442,
Gyenis András,"Bollandisták társasága, A (Klny. Hittel és tudással : jeles jezsuiták életműve)",271 SJ G81,,Manréza Ny.,1935,szerzetesrendek története; jezsuita rend; ,http://nektar.oszk.hu/hu/manifestation/1531119,
Patsch Ferenc SJ (szerk.),"Misszió, globalizáció, etika : Matteo Ricci szellemi öröksége",271 SJ M71,,JTMR Faludi F. Akad. - L'Harmattan,2011,szerzetesség; etika; életrajz; vallásszociológia; vallástudomány; vallástörténet; jezsuita rend; missziótörténet; Kína; ; Ming dinasztia; sinológia; Itália; tanulmányok,http://nektar.oszk.hu/hu/manifestation/3375603,
Pálos Antal SJ,"Viharon, vészen át : [jezsuiták a szétszóratásban] : rövid áttekintés a Jézus Társasága Magyar Rendtartományának életéről a II. világháború után, 1944-1990",271 SJ P21,,Jézus Társasága Mo. Rendtartománya,1992,szerzetesség; rendtörténet; jezsuita rend; Societas Jesu; magyar jezsuiták; magyar egyháztörténet,http://nektar.oszk.hu/hu/manifestation/3898,
Petruch Antal SJ,Száz év a magyar jezsuiták múltjából : 1853-1950,271 SJ P67,,Korda,1992-1994,szerzetesség; rendtörténet; jezsuita rend; Societas Jesu; magyar jezsuiták; magyar egyháztörténet,http://nektar.oszk.hu/hu/manifestation/36392,
Polgár László SJ,Bibliographia de historia Societatis Iesu in regnis olim Corona Hungarica unitis (1560-1773),271 SJ P78,,Tip. Pisani,1957,bibliográfia; magyar egyháztörténet; szerzetesrendek története; jezsuita rend,http://nektar.oszk.hu/hu/manifestation/1361718,
"Ravier, André SJ",Loyolai Szent Ignác megalapítja a Jézus Társaságát,271 SJ R43,,Mercato,1994,Ignatius de Loyola; szerzetesség; jezsuita rend; hagiográfia; szentek élete,http://nektar.oszk.hu/hu/manifestation/100888,
Reisz Elemér SJ,"Jézustársaság és a világmisszió, A : 400 év munkája Isten országáért",271 SJ R52,,Katolikus Missziók Szerkesztősége,1942,egyháztörténet;  szerzetesrendek története; jezsuita rend,http://nektar.oszk.hu/hu/manifestation/1609836,
Szabó Ferenc SJ,Kortárs magyar jezsuiták 1-2. köt.,271 SJ Sz14,,Prugg,1991-1992,szerzetesség; rendtörténet; jezsuita rend; Societas Jesu; magyar jezsuiták; magyar egyháztörténet,http://nektar.oszk.hu/hu/manifestation/823068,
Velics László SJ,Vázlatok a magyar jezsuiták multjából 1-3. köt.,271 SJ V67,,Szt. István Társ.,1912-1914,magyar egyháztörténet; szerzetesrendek története; jezsuita rend,http://nektar.oszk.hu/hu/manifestation/3613021,
"Janssen, Arnold (alapján összeáll. Ewetz Friedbert)",Csak az Isten akarata legyen : Szent Arnold Janssen szavai,271 SVD J44,,Szt. István Társ.,2008,szerzetesség; verbita rend; Isteni Ige Társasága; misszió,http://nektar.oszk.hu/hu/manifestation/2817163,
Szabó M. Erna SZL,Nagyobbra hív az Úr,271 Sz19,,Szt. István Társ.,1942,szerzetesség; megszentelt élet,http://nektar.oszk.hu/hu/manifestation/2783799,
Széll Margit,"Íme jövök, Istenem... : az önfelajánlás történeti metszete a monasztikus oblációkig",271 Sz55,,szerző,1999,monasztikus szerzetesrendek; szerzetesi hivatás; bencés rend; ciszterci rend; obláták; remeteség,http://nektar.oszk.hu/hu/manifestation/404610,
Szolnoky Erzsébet,Halálfogytiglan életre ítélve : szociális tevékenységű szerzetesek,271 Sz88,,Novadat,1991,egyháztörténet;Magyarország története; szerzetesség; női betegápoló szerzetesrendek; apostolkodás; szociális tevékenység,http://nektar.oszk.hu/hu/manifestation/4836,
Vándor Gotfrid OFM,"Kapisztrán Szent Jánosról Nevezett Ferences Rendtartomány kispapnevelésének története, A : 1900-1968",271 V29,,szerző,1980,magyar egyháztörténet; szerzetesrendek története; ferences rend; papnevelés története,http://nektar.oszk.hu/hu/manifestation/1529907,
"Zarnecki, George","Kolostorok, szerzetesek, barátok",271 Z24,,Corvina,1986,művelődéstörténet; Európa; középkor; szerzetesrendek; ,http://nektar.oszk.hu/hu/manifestation/617636,
"Filoramo, Giacomo [!Giovanni]","Gnoszticizmus története, A",273 F57,,Paulus Hungarus - Kairosz,2000,vallástörténet; szekták; ezoterika,http://nektar.oszk.hu/hu/manifestation/797290,
Augustinus Aurelius (Szent Ágoston),"Boldog életről, A [De beata vita]",276 A95,,Európa,1989,morálteológia; patrisztika; egyházatyák; filozófia; boldogság,http://nektar.oszk.hu/hu/manifestation/594957,
Augustinus Aurelius (Szent Ágoston),"Keresztény tanításról, A",276 A95,,Szt. István Társ.,1944,patrisztika; ókeresztény irodalom; dogmatika; hermenutika; ,http://nektar.oszk.hu/hu/manifestation/3497233,
Augustinus Aurelius (Szent Ágoston),"Szabad akaratról, A [De libera arbitrio]",276 A95,,Európa,1989,morálteológia; patrisztika; egyházatyák; filozófia,http://nektar.oszk.hu/hu/manifestation/594957,
Augustinus Aurelius (Szent Ágoston),Szent Ágoston vallomásai,276 A95,,Szt. István Társ.,1999,patrisztika; ókeresztény irodalom; ókori latin irodalom; önéletrajz; megtérés,http://nektar.oszk.hu/hu/manifestation/402845,
Aurelius Augustinus (Szent Ágoston) (ford. Balogh József),Szent Ágoston vallomásai 1-2. köt.,276 A96,,Windsor - Akad.,1995,patrisztika; Augustinus Aurelius; egyházatyák; hagiográfia; szentek élete; önéletrajz,http://nektar.oszk.hu/hu/manifestation/162521,
"Cassianus, Johannes","Keleti szerzetesek szabályai, A",276 C12,,Pannonhalmi Főapátság,1999,patrisztika; egyházatyák; keleti kereszténység; szerzetesség; aszkézis; regula,http://nektar.oszk.hu/hu/manifestation/380098,
"Cassianus, Johannes (ford. Simon Árkád)","Egyiptomi szerzetesek tanítása, Az 1-2. köt.",276 C12,,Pannonhalmi Főapátság,1998-1999,patrisztika; egyházatyák; szerzetesség; szerzetesrendek; regula,http://nektar.oszk.hu/hu/manifestation/341309,
,"Egyházatyák beszédei, Az 1. Krisztus-ünnepekre I. : karácsonyi ünnepkör",276 E30,,Jel,1995,patrisztika; ókeresztény irodalom; homiletika; szentbeszédek; egyházi év,http://nektar.oszk.hu/hu/manifestation/187098,
,"Egyházatyák beszédei, Az 2. Krisztus-ünnepekre II. : húsvéti ünnepkör",276 E30,,Jel,1996,patrisztika; ókeresztény irodalom; homiletika; szentbeszédek; egyházi év,http://nektar.oszk.hu/hu/manifestation/187098,
"Gergely, I. Szt pápa","Lelkipásztor kézikönyve , A",276 G38,,Paulus Hungarus - Kairosz,2004,egyháztörténet; lelkipásztorkodás,http://nektar.oszk.hu/hu/manifestation/2547779,
"Ioannes, Chrysostomus (Aranyszájú Szent János)","Felfoghatatlanról és az Egyszülött dicsőségéről, A : kilenc prédikáció az ariánusok ellen",276 I62,,Odigitria - Osiris,2002,patrisztika; ókeresztény irodalom; dogmatika; istentan; apologetika; hitvita; arianizmus,http://nektar.oszk.hu/hu/manifestation/950581,
"Ioannes, Damaskenos (Damaszkuszi Szent János)",Szent Barlaam remetének és Szent Josaphat indiai királynak élete,276 I62,,Beimel Ny.,1830,patrisztika; ókeresztény irodalom; hagiográfia; szentek élete; életrajzok; Szt Barlám és Jozafát,http://nektar.oszk.hu/hu/manifestation/3088703,
Vidrányi Katalin (vál.),"Isteni és az emberi természetről, Az : görög egyházatyák 1-2. köt. (csak 1.)",276 I78,,Atlantisz,1994,patrisztika; ókeresztény irodalom; vallásfilozófia; dogmatika; istentan; antropológia,http://nektar.oszk.hu/hu/manifestation/112811,
Johannes Chrysostomus (Aranyszájú Szent János),Értekezése a papi méltóságról,276 J67,,Szegedi Kat. Tudósító,1928,patrisztika; ókeresztény irodalom; ókori görög irodalom; papi hivatás; papság; papi lelkiség,http://nektar.oszk.hu/hu/manifestation/3140325,
"Kelly, John Norman Davidson","Szent Jeromos élete, írásai és vitái",276 K33,,Paulus Hungarus - Kairosz,2003,Sophronius Eusebius Hieronymus; patrisztika; egyházatyák; egyháztörténet; hagiográfia; szentek élete; életrajz,http://nektar.oszk.hu/hu/manifestation/1061949,
Kendeffy Gábor,"Egyházatyák és a szkepticizmus, Az",276 K37,,Áron,1999,"patrisztika; filozófiatörténet; Cicero; Alexandriai Philón; Szt Jusztinosz; Theophilosz püspök; Tatianosz; Alexandriai Kelemen; Órigenész; Minucius Felix; Caesareai Euszebiosz; Tertullianus; Arnobius; Lactantius; Augustinus Aurelius, Hippói Szt Ágoston; ",http://nektar.oszk.hu/hu/manifestation/355855,
Klimis o Alexandreys (Alexandriai Kelemen),Protreptikosz,276 K59,,Jel,2006,patrisztika; ókeresztény irodalom; ókori görög irodalom; hitvita,http://nektar.oszk.hu/hu/manifestation/2621935,
"Kürillosz, Jeruzsálemi, Szent",Jeruzsálemi Szent Kürillosz összes művei,276 K99,,Közp. Papnevelő Int.,1995,Jeruzsálemi Szent Cirill; patrisztika; egyházatyák; ókeresztény irodalom; ókori görög irodalom; katekizmus,http://nektar.oszk.hu/hu/manifestation/3471608,
"Lactantius, Lucius Caecilius Firmianus","Isteni gondviselésről, Az; A keresztényüldözők halála; Isten művei; Isten haragja",276 L10,,Helikon,1985,patrisztika; ókeresztény irodalom; ókori latin irodalom; vallásfilozófia; apologetika; keresztényüldözés,http://nektar.oszk.hu/hu/manifestation/787890,
"Markschies, Christoph","Gnózis, A",276 M33,,Szt. István Társ.,2011,patrisztika; vallástörténet; gnoszticizmus; források,http://nektar.oszk.hu/hu/manifestation/3340127,
"Minucius Felix, Marcus",Octavius,276 M69,,Paulus Hungarus - Kairosz,2001,patrisztika; ókeresztény irodalom; latin irodalom; vallásfilozófia; kereszténység; pogányság; hitvita; apologetika,http://nektar.oszk.hu/hu/manifestation/903788,
Vanyó László,"Ókeresztény egyház és irodalma, Az",276 ÓÍ 01,,Szt. István Társ.,1980,"patrisztika; ókeresztény irodalom; ókeresztény egyház; egyháztörténet; egyházatyák; klasszika-filológia; életrajzok; Szt Jusztinosz; Szt Iréneusz; Alexandriai Szt Kelemen; Órigenész; Tertullianus; Szt Ciprián, Cyprianus; Euszebiosz; Szt Atanáz, Athanasziosz; Nagy Szt Vazul, Baszileiosz; Nazianzoszi Szt Gergely; Nüsszai Szt Gergely; Jeruzsálemi Szt Cirill, Kürillosz; Küroszi Theodorétosz; Szt Hilarius; Szt Ambrus; Hieronymus, Szt Jeromos; Prudentius; VII. Gergely pápa; Nursiai Szt Benedek; Boethius; Cassianus; Venantius Fortunatus; Dionüsziosz Areopagitész, Areopagita Dénes; Maximosz hitvalló; Damaszkuszi Szt János; Rómanosz Melódosz; Hippói Szt Ágoston, Augustinus Aurelius; Ókeresztény írók sorozat",http://nektar.oszk.hu/hu/manifestation/672984,
Vanyó László (szerk.),Apokrifek,276 ÓÍ 02,,Szt. István Társ.,1980,patrisztika; ókeresztény irodalom; Ókeresztény írók sorozat,http://nektar.oszk.hu/hu/manifestation/672985,
Vanyó László (szerk.) - Ladocsi Gáspár (ford.),Apostoli atyák,276 ÓÍ 03,,Szt. István Társ.,1980,patrisztika; ókeresztény irodalom; egyházatyák; Ókeresztény írók sorozat,http://nektar.oszk.hu/hu/manifestation/673012,
Baán István (ford.),Euszebiosz egyháztörténete,276 ÓÍ 04,,Szt. István Társ.,1983,patrisztika; ókeresztény irodalom; Caesareai Euszebiosz; Ókeresztény írók sorozat,http://nektar.oszk.hu/hu/manifestation/673074,
Erdő Péter (összeáll.),"Ókeresztény kor egyházfegyelme az első négy évszázadban, Az",276 ÓÍ 05,,Szt. István Társ.,1983,patrisztika; ókeresztény irodalom; egyházjog; kánonjog; Ókeresztény írók sorozat,http://nektar.oszk.hu/hu/manifestation/673075,
Vanyó László (szerk.),"Kappadókiai atyák, A : Nagy Szent Baszileiosz, Nazianzoszi Szent Gergely, Nüsszai Szent Gergely és Ikonioni Amphilokhiosz",276 ÓÍ 06,,Szt. István Társ.,1983,patrisztika; ókeresztény irodalom; egyházatyák; Ókeresztény írók sorozat,http://nektar.oszk.hu/hu/manifestation/794920,
Vanyó László (szerk.),Vértanúakták és szenvedéstörténetek,276 ÓÍ 07,,Szt. István Társ.,1984,patrisztika; ókeresztény irodalom; egyháztörténet; martirológia; Ókeresztény írók sorozat,http://nektar.oszk.hu/hu/manifestation/673186,
Vanyó László (szerk.),"II. századi görög apologéták, A",276 ÓÍ 08,,Szt. István Társ.,1984,patrisztika; ókeresztény irodalom; fundamentális teológia; apologetika; Ókeresztény írók sorozat,http://nektar.oszk.hu/hu/manifestation/673192,
Baán István (ford.),Szókratész egyháztörténete,276 ÓÍ 09,,Szt. István Társ.,1984,patrisztika; ókeresztény irodalom; Ókeresztény írók sorozat,http://nektar.oszk.hu/hu/manifestation/673178,
Aurelius Augustinus (Szent Ágoston) (ford. Gál Ferenc),"Szentháromságról, A",276 ÓÍ 10,,Szt. István Társ.,1985,patrisztika; ókeresztény irodalom; dogmatika; Ókeresztény írók sorozat,http://nektar.oszk.hu/hu/manifestation/673210,
Aurelius Augustinus (Szent Ágoston) (szerk. Vanyó László),Fiatalkori párbeszédek,276 ÓÍ 11,,Szt. István Társ.,1986,patrisztika; ókeresztény irodalom; filozófia; vallásfilozófia; valláserkölcs; Ókeresztény írók sorozat,http://nektar.oszk.hu/hu/manifestation/673230,
"Tertullianus, Quintus Septimus Florens (szerk. Vanyó László)",Tertullianus művei,276 ÓÍ 12,,Szt. István Társ.,1986,patrisztika; ókeresztény irodalom; egyházatyák; rendszeres teológia; dogmatika; apologetika; Ókeresztény írók sorozat,http://nektar.oszk.hu/hu/manifestation/673246,
Athanasios (Szent Atanáz) (szerk. Vanyó László),Szent Athanasziosz művei,276 ÓÍ 13,,Szt. István Társ.,1991,patrisztika; ókeresztény irodalom; egyházatyák; rendszeres teológia; egyháztörténet; apologetika; Ókeresztény írók sorozat,http://nektar.oszk.hu/hu/manifestation/673621,
Órigenész (ford. Vanyó László),Órigenész az imádságról és a vértanúságról,276 ÓÍ 14,,Szt. István Társ.,1997,patrisztika; ókeresztény irodalom; egyházatyák; Ókeresztény írók sorozat,http://nektar.oszk.hu/hu/manifestation/269139,
"Cyprianus, Thascius Caecilius (szent Ciprián) (ford. Vanyó László)",Szent Cyprianus művei,276 ÓÍ 15,,Szt. István Társ.,1999,patrisztika; ókeresztény irodalom; egyházatyák; Ókeresztény írók sorozat,http://nektar.oszk.hu/hu/manifestation/413223,
Basileios (Nagy Szent Vazul) (ford. Vanyó László),Nagy Szent Baszileiosz művei,276 ÓÍ 16,,Szt. István Társ.,2001,patrisztika; ókeresztény irodalom; egyházatyák; Ókeresztény írók sorozat,http://nektar.oszk.hu/hu/manifestation/807303,
Gregorios Nazianzenos (ford. Vanyó László),Nazianzoszi Szent Gergely beszédei,276 ÓÍ 17,,Szt. István Társ.,2001,patrisztika; ókeresztény irodalom; egyházatyák; homiletika; Ókeresztény írók sorozat,http://nektar.oszk.hu/hu/manifestation/913597,
Gregorios Nyssis (ford. Vanyó László),Nüsszai Szent Gergely művei,276 ÓÍ 18,,Szt. István Társ.,2002,patrisztika; ókeresztény irodalom; egyházatyák; Ókeresztény írók sorozat,http://nektar.oszk.hu/hu/manifestation/943886,
"Kyrillos, Szent, Jeruzsálemi (ford. Vanyó László)",Jeruzsálemi Szent Kürillosz összes művei,276 ÓÍ 19,,Szt. István Társ.,2006,patrisztika; ókeresztény irodalom; egyházatyák; Ókeresztény írók sorozat,http://nektar.oszk.hu/hu/manifestation/2639604,
Pesthy Mónika,"Órigenés, az exegéta : az egyházatya Biblia-magyarázata, különös tekintettel a Jeremiás-homiliákra",276 P58,,MTA Judaisztikai Kutcsop.,1996,"patrisztika; Biblia, Ószövetség, Jeremiás próféta könyve; bibliamagyarázat; egzegézis; egyházatyák",http://nektar.oszk.hu/hu/manifestation/2636906,
Hermann Hermenegild OFM (összeáll.),Promptuarium patristicum : dogmatica : 1-2.,276 P93,,s.n.,1937,patrisztika; dogmatika; dogmatörténet; idézetgyűjtemény; segédkönyv,http://nektar.oszk.hu/hu/manifestation/3247683,
Somorjai Ádám OSB,"Makariosz/szimeoni iratok, A",276 S76,,Pannonhalmi Főapátság,1995,patrisztika; ókeresztény irodalom; egyházatyák; kappadókiai atyák; misztika; messzalianizmus; Egyiptomi Szt Makár; Nagy Szt Baszileiosz; Nüsszai Szt Gergely,http://nektar.oszk.hu/hu/manifestation/180847,
Somos Róbert,Órigenész és a görög filozófia : filozófiai jegyek Órigenész munkásságában,276 S76,,Janus Pannonius Egy. K.,1995,patrisztika; ókeresztény irodalom; egyházatyák; ókori filozófia,http://nektar.oszk.hu/hu/manifestation/154958,
Ormos István (ford.),"Törzsek származásáról, A, avagy A kincsesbarlang",276 T89,,Helikon,1985,vallástörténet; teremtéstörténet; ókeresztény egyháztörténet; patrisztika; Közel-Kelet; szír vallásos irodalom; bibliai történetek,http://nektar.oszk.hu/hu/manifestation/787908,
"Trape, Agostino","Szent Ágoston, az ember, a lelkipásztor, a misztikus",276 T90,,Szt. István Társ.,1987,patrisztika; Augustinus Aurelius; egyházatyák; filozófiatörténet; hagiográfia; szentek élete; életrajz,http://nektar.oszk.hu/hu/manifestation/673205,
Vanyó László,"Katekézis, költészet és ikonográfia a 4. században",276 V31,,Jel,1995,patrisztika; ókeresztény irodalom; ókeresztény művészet; liturgia; ikonográfia; hitoktatás; katekézis; szimbólumok,http://nektar.oszk.hu/hu/manifestation/150246,
Vanyó László,"Katekézis, költészet és ikonográfia a 4. században",276 V31,,Jel,2005,patrisztika; ókeresztény irodalom; ókeresztény művészet; liturgia; ikonográfia; hitoktatás; katekézis; szimbólumok,http://nektar.oszk.hu/hu/manifestation/2575521,
Vanyó László,"Legyetek tökéletesek... : tanulmányok a keresztény aszkézis történetéhez, a szerzetesség kialakulásáig",276 V31,,Szt. István Társ.,1991,"patrisztika; szerzetesség; aszketika; szüzesség; vértanúság; apostoli atyák; ""Vita angelica""; bibliaolvasás; szöveggyűjtemény; szír, egyiptomi egyháztörténet; gnózis",http://nektar.oszk.hu/hu/manifestation/15438,
Vanyó László,"Ókeresztény kor dogmatörténete Kr. u. 325-ig, Az",276 V31,,PPRKHA,1988,patrisztika; rendszeres; teológia; felsőoktatási tankönyv,http://nektar.oszk.hu/hu/manifestation/177815,
Vanyó László,"Ókeresztény kor dogmatörténete Kr. u. 325-től 787-ig, Az",276 V31,,PPRKHA,1988,patrisztika; rendszeres; teológia; felsőoktatási tankönyv,http://nektar.oszk.hu/hu/manifestation/189036,
Balogh Margit - Gergely Jenő,"Egyházak az újkori Magyarországon, 1790-1992 : adattár",280 B25,,História - MTA Törttud. Int.,1996,magyar egyháztörténet; vallási statisztika; bibliográfia; kézikönyv,http://nektar.oszk.hu/hu/manifestation/193856,
Iványi Szabó Éva,"Magyar egyháztörténeti bibliográfia, 1980-1990",280 I98,,METEM,1997,egyházak; Magyarország,http://nektar.oszk.hu/hu/manifestation/233314,
Jakubinyi György,"Romániai katolikus, erdélyi protestáns és izraelita vallási archontológia",280 J21,,s.n.,1998,katolikus egyház; protestáns egyházak; zsidó vallás; adattár,http://nektar.oszk.hu/hu/manifestation/833485,
Kisfalusi János,Ünnepi népszokások a keleti egyházban,281 K51,,szerző,1995,görögkeleti egyház; vallási néprajz; Magyarország; ünnepek,http://nektar.oszk.hu/hu/manifestation/145116,
Sasvári László,"Ikonosztáz vonzásában, Az : keleti egyházak Magyarországon",281 S22,,METEM,2002,egyháztörténet; keleti kereszténység; görögkeleti egyház; görögkatolikus egyház; Magyarország,http://nektar.oszk.hu/hu/manifestation/935436,
Véghseő Tamás (szerk.),"Symbolae : a görög katolikus örökségkutatás útjai : a Nikolaus Nilles halálának 100. évfordulóján rendezett konferencia tanulmányai : Nyíregyháza, 2007. november 23-24.",281 S99,,Szt. Atanáz Görög Katolikus Hittud. Főisk.,2010,egyháztörténet; jezsuita rend; Ausztria; Magyarország; keleti kereszténység; görögkatolikus egyház; liturgia; Erdély; munkácsi püspökség; egyházi iskolák; debreceni merénylet; Miklósy István; művészettörténet; egyházjog; kánonjog; konferencia-kiadvány; tanulmányok,http://nektar.oszk.hu/hu/manifestation/3086895,
"Balan, Ioanichie","Moldvai szerzetesek élete, A",281.9 B16,,Odigitria - Osiris,2002,egyháztörténet; szerzetesség; szerzetesrendek; ortodox egyház; görögkeleti egyház,http://nektar.oszk.hu/hu/manifestation/953191,
"Bloom, Anthony","Élő ima, Az",281.9 B69,,Odigitria - Osiris,2002,ortodox egyház; görögkeleti egyház; misztika; imádság; hitélet; elmélkedés,http://nektar.oszk.hu/hu/manifestation/953196,
"Clément, Olivier",Kérdések az emberről,281.9 C23,,Bizantinológiai Intézeti Alapítvány,2004,valláserkölcs; filozófiai antropológia; francia vallásos irodalom,http://nektar.oszk.hu/hu/manifestation/2544328,
"Meyendorff, Jean",Krisztus az ortodox teológiában,281.9 M60,,Odigitria - Osiris,2003,krisztológia; dogmatörténet; ortodox egyház; görögkeleti egyház,http://nektar.oszk.hu/hu/manifestation/1062480,
Orosz László (szerk.),"Orientalium dignitas : atti del simposio commemorativo della ricorrenza centenaria della lettera apostolica di Papa Leone XIII : [Nyíregyháza], 2-4 novembre 1994",281.9 O53,,Szt. Atanáz Hittud. Főisk.,1995,XIII. Leó pápa; Vincenzo Gioacchino Pecci; római katolikus egyház; görögkatolikus egyház; görögkeleti egyház; bizánci rítus; ökumené; tanulmányok; konferencia-kiadvány,http://nektar.oszk.hu/hu/manifestation/312628,
"Vlachos, Hierotheos",Bevezetés a keleti keresztény lelkiségbe : ortodox lelkiség,281.9 V93,,zöld-S (vs) Studio,1998,keleti kereszténység; görögkeleti vallás; ortodox egyház; szemlélődés; aszketika; szerzetesség; házasélet,http://nektar.oszk.hu/hu/manifestation/338404,
András Imre - Morel Gyula,"Bilanz des ungarischen Katholizismus : kirche und Gesellschaft in Dokumenten, Zahlen und Analysen",282 A59,,Heimatwerk,1969,katolikus egyház; Magyarország; egyház és állam; egyház és társadalom; egyházjog; dokumentumok,http://nektar.oszk.hu/hu/manifestation/1430808,
Dallos József OPraem,"Kath. kultusz szelleme, A : 1-2. köt. (egybekötve)",282 D12,,Seiler,1886,Floigl József Sándor; művelődéstörténet; szentségek; ima; liturgia; szentmise; szentelmények; búcsú; körmenet; egyházi év; szent helyek; művészet; templom,http://nektar.oszk.hu/hu/manifestation/3130294,
